"trans date/time","Lane","Payment","Axles"
"2019-05-04 00:00:05","3","CC","2"
"2019-05-04 00:00:29","3","CC","2"
"2019-05-04 00:01:26","3","CASH","2"
"2019-05-04 00:01:33","7","PBM","2"
"2019-05-04 00:01:51","8","PBM","2"
"2019-05-04 00:02:01","8","PBM","2"
"2019-05-04 00:02:13","3","CC","2"
"2019-05-04 00:02:15","8","PBM","2"
"2019-05-04 00:02:42","3","CC","5"
"2019-05-04 00:02:51","3","CASH","2"
"2019-05-04 00:03:06","9","PBM","2"
"2019-05-04 00:03:08","9","PBM","2"
"2019-05-04 00:03:08","9","PBM","2"
"2019-05-04 00:03:46","3","CC","2"
"2019-05-04 00:04:11","3","CASH","2"
"2019-05-04 00:04:14","8","PBM","2"
"2019-05-04 00:04:28","3","CC","2"
"2019-05-04 00:04:33","3","CASH","2"
"2019-05-04 00:05:07","7","ETC","6"
"2019-05-04 00:05:17","7","PBM","2"
"2019-05-04 00:05:56","8","PBM","2"
"2019-05-04 00:06:23","3","CC","2"
"2019-05-04 00:06:53","7","PBM","6"
"2019-05-04 00:07:56","7","PBM","2"
"2019-05-04 00:08:21","3","CASH","2"
"2019-05-04 00:08:26","8","PBM","2"
"2019-05-04 00:08:29","10","PBM","2"
"2019-05-04 00:08:34","8","PBM","2"
"2019-05-04 00:08:35","9","PBM","2"
"2019-05-04 00:08:52","10","PBM","2"
"2019-05-04 00:09:05","10","PBM","2"
"2019-05-04 00:09:10","3","CC","2"
"2019-05-04 00:09:20","3","CC","2"
"2019-05-04 00:09:30","3","CASH","2"
"2019-05-04 00:09:45","3","CC","2"
"2019-05-04 00:09:45","7","PBM","2"
"2019-05-04 00:09:45","8","PBM","2"
"2019-05-04 00:10:14","7","PBM","2"
"2019-05-04 00:10:25","7","PBM","2"
"2019-05-04 00:10:37","3","CASH","2"
"2019-05-04 00:10:52","3","CASH","2"
"2019-05-04 00:11:08","3","CC","2"
"2019-05-04 00:11:20","3","CASH","2"
"2019-05-04 00:11:49","3","CC","2"
"2019-05-04 00:12:01","3","CC","2"
"2019-05-04 00:12:13","3","CC","2"
"2019-05-04 00:12:17","7","PBM","6"
"2019-05-04 00:12:26","3","CC","2"
"2019-05-04 00:12:40","7","PBM","2"
"2019-05-04 00:12:43","7","PBM","2"
"2019-05-04 00:13:11","3","CC","2"
"2019-05-04 00:13:28","3","CC","2"
"2019-05-04 00:14:14","3","CASH","2"
"2019-05-04 00:14:21","7","ETC","6"
"2019-05-04 00:14:29","3","CASH","2"
"2019-05-04 00:14:53","3","CASH","2"
"2019-05-04 00:15:29","3","CASH","2"
"2019-05-04 00:16:03","3","CASH","2"
"2019-05-04 00:16:18","3","CC","2"
"2019-05-04 00:16:24","3","CASH","2"
"2019-05-04 00:16:36","3","CASH","2"
